"id_int,pclass_int,name_str,sex_str,age_int,sibsp_int,parch_int,ticket_str,fare_float,cabin_str,embarked_str,boat_str,body_int,home.dest_str,survived_int",
"1,1,Allen. Miss. Elisabeth Walton,female,29,0,0,24160,211.3375,B5,S,2,?,St Louis. MO,1",
"2,1,Allison. Master. Hudson Trevor,male,0.9167,1,2,113781,151.55,C22 C26,S,11,?,Montreal. PQ / Chesterville. ON,1",
"3,1,Allison. Miss. Helen Loraine,female,2,1,2,113781,151.55,C22 C26,S,?,?,Montreal. PQ / Chesterville. ON,0",
"4,1,Allison. Mr. Hudson Joshua Creighton,male,30,1,2,113781,151.55,C22 C26,S,?,135,Montreal. PQ / Chesterville. ON,0",
"5,1,Allison. Mrs. Hudson J C (Bessie Waldo Daniels),female,25,1,2,113781,151.55,C22 C26,S,?,?,Montreal. PQ / Chesterville. ON,0",
"6,1,Anderson. Mr. Harry,male,48,0,0,19952,26.55,E12,S,3,?,New York. NY,1",
"7,1,Andrews. Miss. Kornelia Theodosia,female,63,1,0,13502,77.9583,D7,S,10,?,Hudson. NY,1",
"8,1,Andrews. Mr. Thomas Jr,male,39,0,0,112050,0,A36,S,?,?,Belfast. NI,0",
"9,1,Appleton. Mrs. Edward Dale (Charlotte Lamson),female,53,2,0,11769,51.4792,C101,S,D,?,Bayside. Queens. NY,1",
"10,1,Artagaveytia. Mr. Ramon,male,71,0,0,PC 17609,49.5042,?,C,?,22,Montevideo. Uruguay,0",
"11,1,Astor. Col. John Jacob,male,47,1,0,PC 17757,227.525,C62 C64,C,?,124,New York. NY,0",
"12,1,Astor. Mrs. John Jacob (Madeleine Talmadge Force),female,18,1,0,PC 17757,227.525,C62 C64,C,4,?,New York. NY,1",
"13,1,Aubart. Mme. Leontine Pauline,female,24,0,0,PC 17477,69.3,B35,C,9,?,Paris. France,1",
"14,1,Barber. Miss. Ellen 'Nellie',female,26,0,0,19877,78.85,?,S,6,?,?,1",
"15,1,Barkworth. Mr. Algernon Henry Wilson,male,80,0,0,27042,30,A23,S,B,?,Hessle. Yorks,1",
"16,1,Baumann. Mr. John D,male,?,0,0,PC 17318,25.925,?,S,?,?,New York. NY,0",
"17,1,Baxter. Mr. Quigg Edmond,male,24,0,1,PC 17558,247.5208,B58 B60,C,?,?,Montreal. PQ,0",
"18,1,Baxter. Mrs. James (Helene DeLaudeniere Chaput),female,50,0,1,PC 17558,247.5208,B58 B60,C,6,?,Montreal. PQ,1",
"19,1,Bazzani. Miss. Albina,female,32,0,0,11813,76.2917,D15,C,8,?,?,1",
"20,1,Beattie. Mr. Thomson,male,36,0,0,13050,75.2417,C6,C,A,?,Winnipeg. MN,0",
"21,1,Beckwith. Mr. Richard Leonard,male,37,1,1,11751,52.5542,D35,S,5,?,New York. NY,1",
"22,1,Beckwith. Mrs. Richard Leonard (Sallie Monypeny),female,47,1,1,11751,52.5542,D35,S,5,?,New York. NY,1",
"23,1,Behr. Mr. Karl Howell,male,26,0,0,111369,30,C148,C,5,?,New York. NY,1",
"24,1,Bidois. Miss. Rosalie,female,42,0,0,PC 17757,227.525,?,C,4,?,?,1",
"25,1,Bird. Miss. Ellen,female,29,0,0,PC 17483,221.7792,C97,S,8,?,?,1",
"26,1,Birnbaum. Mr. Jakob,male,25,0,0,13905,26,?,C,?,148,San Francisco. CA,0",
"27,1,Bishop. Mr. Dickinson H,male,25,1,0,11967,91.0792,B49,C,7,?,Dowagiac. MI,1",
"28,1,Bishop. Mrs. Dickinson H (Helen Walton),female,19,1,0,11967,91.0792,B49,C,7,?,Dowagiac. MI,1",
"29,1,Bissette. Miss. Amelia,female,35,0,0,PC 17760,135.6333,C99,S,8,?,?,1",
"30,1,Bjornstrom-Steffansson. Mr. Mauritz Hakan,male,28,0,0,110564,26.55,C52,S,D,?,Stockholm. Sweden / Washington. DC,1",
"31,1,Blackwell. Mr. Stephen Weart,male,45,0,0,113784,35.5,T,S,?,?,Trenton. NJ,0",
"32,1,Blank. Mr. Henry,male,40,0,0,112277,31,A31,C,7,?,Glen Ridge. NJ,1",
"33,1,Bonnell. Miss. Caroline,female,30,0,0,36928,164.8667,C7,S,8,?,Youngstown. OH,1",
"34,1,Bonnell. Miss. Elizabeth,female,58,0,0,113783,26.55,C103,S,8,?,Birkdale. England Cleveland. Ohio,1",
"35,1,Borebank. Mr. John James,male,42,0,0,110489,26.55,D22,S,?,?,London / Winnipeg. MB,0",
"36,1,Bowen. Miss. Grace Scott,female,45,0,0,PC 17608,262.375,?,C,4,?,Cooperstown. NY,1",
"37,1,Bowerman. Miss. Elsie Edith,female,22,0,1,113505,55,E33,S,6,?,St Leonards-on-Sea. England Ohio,1",
"38,1,Bradley. Mr. George ('George Arthur Brayton'),male,?,0,0,111427,26.55,?,S,9,?,Los Angeles. CA,1",
"39,1,Brady. Mr. John Bertram,male,41,0,0,113054,30.5,A21,S,?,?,Pomeroy. WA,0",
"40,1,Brandeis. Mr. Emil,male,48,0,0,PC 17591,50.4958,B10,C,?,208,Omaha. NE,0",
"41,1,Brewe. Dr. Arthur Jackson,male,?,0,0,112379,39.6,?,C,?,?,Philadelphia. PA,0",
"42,1,Brown. Mrs. James Joseph (Margaret Tobin),female,44,0,0,PC 17610,27.7208,B4,C,6,?,Denver. CO,1",
"43,1,Brown. Mrs. John Murray (Caroline Lane Lamson),female,59,2,0,11769,51.4792,C101,S,D,?,Belmont. MA,1",
"44,1,Bucknell. Mrs. William Robert (Emma Eliza Ward),female,60,0,0,11813,76.2917,D15,C,8,?,Philadelphia. PA,1",
"45,1,Burns. Miss. Elizabeth Margaret,female,41,0,0,16966,134.5,E40,C,3,?,?,1",
"46,1,Butt. Major. Archibald Willingham,male,45,0,0,113050,26.55,B38,S,?,?,Washington. DC,0",
"47,1,Cairns. Mr. Alexander,male,?,0,0,113798,31,?,S,?,?,?,0",
"48,1,Calderhead. Mr. Edward Pennington,male,42,0,0,PC 17476,26.2875,E24,S,5,?,New York. NY,1",
"49,1,Candee. Mrs. Edward (Helen Churchill Hungerford),female,53,0,0,PC 17606,27.4458,?,C,6,?,Washington. DC,1",
